,N,w
79,9.24586933242087,1.0
80,9.24640088046431,1.0
81,9.247131759024041,1.0
82,9.250980371300042,1.0
83,9.250980371300042,1.0
84,9.250980371300042,1.0
85,9.251220590127366,1.0
86,9.256091410179213,1.0
87,9.257195394577128,1.0
88,9.261202449058384,1.0
89,9.261202449058384,1.0
90,9.261202449058384,1.0
91,9.261202449058384,1.0
92,9.26142733476907,1.0
93,9.266313487937555,1.0
94,9.266313487937555,1.0
95,9.266313487937555,1.0
96,9.266313487937555,1.0
97,9.266313487937555,1.0
98,9.266466819103933,1.0
99,9.271424526816727,1.0
100,9.271424526816727,1.0
101,9.271424526816727,1.0
102,9.272150294337578,1.0
103,9.272824951469637,1.0
104,9.276535565695898,1.0
105,9.276535565695898,1.0
106,9.276535565695898,1.0
107,9.276535565695898,1.0
108,9.276535565695898,1.0
109,9.276535565695898,1.0
110,9.276535565695898,1.0
111,9.276535565695898,1.0
112,9.276607120240207,1.0
113,9.277363553994334,1.0
114,9.27738910918873,1.0
115,9.277966656582084,1.0
116,9.27799221177648,1.0
117,9.28164660457507,1.0
118,9.28164660457507,1.0
119,9.28164660457507,1.0
120,9.28164660457507,1.0
121,9.28164660457507,1.0
122,9.28164660457507,1.0
123,9.28164660457507,1.0
124,9.281815268858084,1.0
125,9.282300817551612,1.0
126,9.282622813001003,1.0
127,9.282673923389796,1.0
128,9.28675764345424,1.0
129,9.28675764345424,1.0
130,9.28675764345424,1.0
131,9.28675764345424,1.0
132,9.28675764345424,1.0
133,9.28675764345424,1.0
134,9.28675764345424,1.0
135,9.288020070057412,1.0
136,9.288076291485083,1.0
137,9.288260288884736,1.0
138,9.291868682333412,1.0
139,9.291868682333412,1.0
140,9.291868682333412,1.0
141,9.291868682333412,1.0
142,9.292609782970901,1.0
143,9.292850001798225,1.0
144,9.29322310763641,1.0
145,9.293381549841666,1.0
146,9.296979721212583,1.0
147,9.296979721212583,1.0
148,9.296979721212583,1.0
149,9.296979721212583,1.0
150,9.296979721212583,1.0
151,9.296979721212583,1.0
152,9.296979721212583,1.0
153,9.296979721212583,1.0
154,9.297894597171966,1.0
155,9.298308591321184,1.0
156,9.29847214456532,1.0
157,9.302090760091755,1.0
158,9.302090760091755,1.0
159,9.302090760091755,1.0
160,9.302090760091755,1.0
161,9.302090760091755,1.0
162,9.302090760091755,1.0
163,9.302090760091755,1.0
164,9.302090760091755,1.0
165,9.302090760091755,1.0
